year,show,ethnicity,actors,theater,type,nonprofit
2011-2012,Private Lives,Asian American,0,,Play,
2011-2012,Private Lives,Caucasian,7,,Play,
2011-2012,Private Lives,Latino,0,,Play,
2011-2012,Private Lives,Other,0,,Play,
2011-2012,Relatively Speaking,African American,0,,Play,
2011-2012,Relatively Speaking,Asian American,0,,Play,
2011-2012,Relatively Speaking,Caucasian,11,,Play,
2011-2012,Relatively Speaking,Latino,0,,Play,
2011-2012,Relatively Speaking,Other,0,,Play,
2011-2012,Seminar,African American,0,,Play,
2011-2012,Seminar,Asian American,1,,Play,
2011-2012,Seminar,Caucasian,9,,Play,
2011-2012,Seminar,Latino,1,,Play,
2011-2012,Seminar,Other,0,,Play,
2011-2012,Shatner's World: We Just Live in It,African American,0,,Play,
2011-2012,Shatner's World: We Just Live in It,Asian American,0,,Play,
2011-2012,Shatner's World: We Just Live in It,Caucasian,1,,Play,
2011-2012,Shatner's World: We Just Live in It,Latino,0,,Play,
2011-2012,Shatner's World: We Just Live in It,Other,0,,Play,
2011-2012,Sister Act,African American,5,,Musical,
2011-2012,Sister Act,Asian American,0,,Musical,
2011-2012,Sister Act,Caucasian,6,,Musical,
2011-2012,Sister Act,Latino,0,,Musical,
2011-2012,Sister Act,Other,0,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,African American,10,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Asian American,5,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Caucasian,47,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Latino,0,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Other,0,,Musical,
2011-2012,Stick Fly,African American,8,,Play,
2011-2012,Stick Fly,Asian American,0,,Play,
2011-2012,Stick Fly,Caucasian,2,,Play,
2011-2012,Stick Fly,Latino,0,,Play,
2011-2012,Stick Fly,Other,0,,Play,
2011-2012,The Book of Mormon,African American,6,,Musical,
2011-2012,The Book of Mormon,Asian American,0,,Musical,
2011-2012,The Book of Mormon,Caucasian,3,,Musical,
2011-2012,The Book of Mormon,Latino,0,,Musical,
2011-2012,The Book of Mormon,Other,0,,Musical,
2011-2012,The Columnist,African American,0,,Play,
2011-2012,The Columnist,Asian American,0,,Play,
2011-2012,The Columnist,Caucasian,12,,Play,
2011-2012,The Columnist,Latino,0,,Play,
2011-2012,The Columnist,Other,0,,Play,
2011-2012,The Gershwin's Porgy and Bess,African American,25,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Asian American,0,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Caucasian,2,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Latino,0,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Other,0,,Musical,
2011-2012,The Lyons,African American,1,,Play,
2011-2012,The Lyons,Asian American,0,,Play,
2011-2012,The Lyons,Caucasian,10,,Play,
2011-2012,The Lyons,Latino,0,,Play,
2011-2012,The Lyons,Other,0,,Play,
2011-2012,The Mountaintop,African American,4,,Play,
2011-2012,The Mountaintop,Asian American,0,,Play,
2011-2012,The Mountaintop,Caucasian,0,,Play,
2011-2012,The Mountaintop,Latino,0,,Play,
2011-2012,The Mountaintop,Other,0,,Play,
2011-2012,The Road to Mecca,African American,0,,Play,
2011-2012,The Road to Mecca,Asian American,0,,Play,
2011-2012,The Road to Mecca,Caucasian,6,,Play,
2011-2012,The Road to Mecca,Latino,0,,Play,
2011-2012,The Road to Mecca,Other,0,,Play,
2011-2012,Venus In Fur,African American,0,,Play,
2011-2012,Venus In Fur,Asian American,0,,Play,
2011-2012,Venus In Fur,Caucasian,5,,Play,
2011-2012,Venus In Fur,Latino,0,,Play,
2011-2012,Venus In Fur,Other,0,,Play,
2011-2012,War Horse,African American,0,,Musical,
2011-2012,War Horse,Asian American,1,,Musical,
2011-2012,War Horse,Caucasian,20,,Musical,
2011-2012,War Horse,Latino,0,,Musical,
2011-2012,War Horse,Other,0,,Musical,
2011-2012,Wit,African American,2,,Play,
2011-2012,Wit,Asian American,1,,Play,
2011-2012,Wit,Caucasian,8,,Play,
2011-2012,Wit,Latino,1,,Play,
2011-2012,Wit,Other,0,,Play,
